,加权利率,品种,品种2,日期,时间,最新利率
3949,4.2000,DIBO1Y,0,09-26,12:00,4.2000
3950,1.6208,DR001,1,09-26,12:00,1.6000
3951,2.4482,DR007,1,09-26,12:00,2.0000
3952,2.9714,DR014,1,09-26,12:00,3.0000
3953,2.9128,DR021,1,09-26,12:00,2.8500
3954,2.9013,DR1M,1,09-26,12:00,2.9000
3955,3.0077,DR021,1,09-24,17:00,2.9000
3956,2.9411,DR2M,1,09-26,12:00,3.0500
3957,2.7500,DR3M,1,09-26,12:00,2.7500
3958,3.4500,DR4M,1,09-26,12:00,3.4500
3959,1.6454,DIBO001,0,09-26,12:00,1.6700
3960,2.5741,DIBO007,0,09-26,12:00,2.9000
3961,2.9995,DIBO014,0,09-26,12:00,2.8700
3962,3.1284,DIBO021,0,09-26,12:00,3.0200
3963,2.8000,DIBO1M,0,09-26,12:00,2.8000
3964,3.0826,DIBO2M,0,09-26,12:00,3.1000
3965,3.7571,DIBO3M,0,09-26,12:00,3.9000
3966,3.6776,DIBO3M,0,09-24,17:00,3.5500
3967,2.9912,DR1M,1,09-24,17:00,2.8000
3968,3.0000,DIBO4M,0,09-26,12:00,3.0000
3969,3.8231,DIBO6M,0,09-26,12:00,3.8000
3970,4.2000,DIBO1Y,0,09-26,12:00,4.2000
3971,1.6208,DR001,1,09-26,12:00,1.5000
3972,2.4482,DR007,1,09-26,12:00,2.0000
3973,2.9717,DR014,1,09-26,12:00,2.9800
3974,2.9128,DR021,1,09-26,12:00,2.8500
3975,2.9013,DR1M,1,09-26,12:00,2.9000
3976,2.9411,DR2M,1,09-26,12:00,3.0500
3977,2.7500,DR3M,1,09-26,12:00,2.7500
3978,3.1137,DR2M,1,09-24,17:00,3.1000
3979,3.4500,DR4M,1,09-26,12:00,3.4500
3980,1.6458,DIBO001,0,09-26,13:45,1.6370
3981,2.5741,DIBO007,0,09-26,13:45,2.9000
3982,3.0215,DIBO014,0,09-26,13:45,3.0000
3983,3.1284,DIBO021,0,09-26,13:45,3.0200
3984,2.8000,DIBO1M,0,09-26,13:45,2.8000
3985,3.0826,DIBO2M,0,09-26,13:45,3.1000
3986,3.7571,DIBO3M,0,09-26,13:45,3.9000
3987,3.0000,DIBO4M,0,09-26,13:45,3.0000
3988,3.8231,DIBO6M,0,09-26,13:45,3.8000
3989,2.9703,DR3M,1,09-24,17:00,3.0000
3990,4.2000,DIBO1Y,0,09-26,13:45,4.2000
3991,1.6202,DR001,1,09-26,13:45,1.6500
3992,2.4482,DR007,1,09-26,13:45,2.0000
3993,2.9723,DR014,1,09-26,13:45,3.0300
3994,2.9128,DR021,1,09-26,13:45,2.8500
3995,2.9013,DR1M,1,09-26,13:45,2.9000
3996,2.9411,DR2M,1,09-26,13:45,3.0500
3997,2.7500,DR3M,1,09-26,13:45,2.7500
3998,3.4500,DR4M,1,09-26,13:45,3.4500
3999,1.6454,DIBO001,0,09-26,14:00,1.6200
4000,3.5000,DR6M,1,09-24,17:00,3.5000
4001,2.5741,DIBO007,0,09-26,14:00,2.9000
4002,3.0385,DIBO014,0,09-26,14:00,3.1000
4003,3.1284,DIBO021,0,09-26,14:00,3.0200
