,客户名称,2019-04-29,生效起始日,生效截至日,2019-04-30,2019-04-30变动
157,山东省商业集团财务有限公司,60000000.0,20170830,20180628,60000000.0,0.0
158,山东邹平农村商业银行股份有限公司,0.0,20121116,20170830,0.0,0.0
159,山东黄金集团财务有限公司,587153.13,20170830,20190830,4716.5,-582436.63
160,山西尧都农村商业银行股份有限公司,2000000.0,20140109,20191130,2000000.0,0.0
161,巴彦淖尔河套农村商业银行股份有限公司,48888888.89,20140218,20160120,48888888.89,0.0
162,常州市商业银行股份有限公司,1.11,20100915,20151230,1.11,0.0
163,平安银行股份有限公司,2485489029.77,20100527,20190930,2676231157.49,190742127.7199998
164,平顶山银行股份有限公司,54736162.4,20110706,20191130,57886162.4,3150000.0
165,广东华兴银行股份有限公司,31824541.8,20140805,20190225,32973130.44,1148588.6400000006
166,广东南海农村商业银行股份有限公司,218359955.87,20131029,20191130,217459955.87,-900000.0
167,广东南粤银行股份有限公司,15164679.56,20101011,20191130,1731848.26,-13432831.3
168,广东揭阳农村商业银行股份有限公司,0.01,20140221,20170830,0.01,0.0
169,广东清远农村商业银行股份有限公司,0.01,20131225,20170830,0.01,0.0
170,广东省广晟财务有限公司,40000000.0,20180711,20190501,40000000.0,0.0
171,广东顺德农村商业银行股份有限公司,163195830.28,20130122,20191130,162345172.93,-850657.349999994
172,广发银行股份有限公司,669860529.12,20100527,20190930,646575186.79,-23285342.330000043
173,广州农村商业银行股份有限公司,22421840.28,20120511,20190930,22021947.78,-399892.5
174,广州银行股份有限公司,239413399.44,20130204,20190930,233521592.59,-5891806.849999994
175,广西北部湾银行股份有限公司,866736.3,20111013,20191031,806736.3,-60000.0
176,廊坊银行股份有限公司,39333333.33,20161020,20180613,39333333.33,0.0
177,延边农村商业银行股份有限公司,0.01,20140218,20190108,0.01,0.0
178,开封银行股份有限公司,20000000.0,20121116,20121116,20000000.0,0.0
179,张家口银行股份有限公司,2422035.34,20100915,20191130,1422035.34,-999999.9999999998
180,徐州淮海农村商业银行股份有限公司,440000000.0,20140208,20151008,440000000.0,0.0
181,德州银行股份有限公司,1.11,20121116,20151230,1.11,0.0
182,德意志银行（中国）,166666666.67,20140408,20151215,166666666.67,0.0
183,徽商银行股份有限公司,3088699543.32,20100914,20190930,3095481143.32,6781600.0
184,恒丰银行股份有限公司,1005201985.44,20100921,20180428,1005201985.44,0.0
185,惠州农村商业银行股份有限公司,150000000.0,20140109,20191031,150000000.0,0.0
186,成都农村商业银行股份有限公司,629912148.37,20130201,20191231,605253428.37,-24658720.0
187,成都银行股份有限公司,1095563689.42,20100915,20191031,1088788417.42,-6775272.0
188,承德银行股份有限公司,311939801.43,20130628,20190930,281939801.43,-30000000.0
189,抚州农村商业银行股份有限公司,0.01,20141118,20170830,0.01,0.0
190,抚顺银行股份有限公司,155555555.56,20140807,20180930,155555555.56,0.0
191,招商局集团财务有限公司,200000000.0,20190130,20191130,200000000.0,0.0
192,招商银行股份有限公司,76303218.36,20100527,20190930,149417939.84,73114721.48
193,攀枝花农村商业银行股份有限公司,82888888.89,20131225,20160120,82888888.89,0.0
194,攀枝花市商业银行股份有限公司,13500469.98,20110908,20190930,18188182.98,4687713.0
195,新乡银行股份有限公司,11111111.11,20101018,20151230,11111111.11,0.0
196,新余农村商业银行股份有限公司,47000000.0,20131106,20180903,47000000.0,0.0
197,新希望财务有限公司,4455580.0,20151028,20190930,4455580.0,0.0
198,新疆天山农村商业银行股份有限公司,525069.1,20140724,20191130,1625069.1,1100000.0
199,新韩银行,202000000.0,20100914,20120703,202000000.0,0.0
200,无锡农村商业银行股份有限公司,12316489.75,20140208,20190930,13416489.75,1100000.0
201,日照银行股份有限公司,213910000.0,20100915,20181217,213910000.0,0.0
202,昆仑银行股份有限公司,14882799.7,20130424,20190930,22191799.7,7309000.0
203,星展银行(中国),111111111.11,20140423,20180930,111111111.11,0.0
204,晋中银行股份有限公司,32912.0,20150116,20190930,2332912.0,2300000.0
205,晋商银行股份有限公司,44525280.39,20101122,20190930,43825280.39,-700000.0
206,晋城银行股份有限公司,140000.0,20140116,20190831,740000.0,600000.0
207,景德镇农村商业银行股份有限公司,55555555.56,20140916,20180930,55555555.56,0.0
208,景德镇市商业银行股份有限公司,111111111.11,20140916,20150930,111111111.11,0.0
209,曲靖市商业银行股份有限公司,55555555.56,20150423,20170630,55555555.56,0.0
210,朝阳市商业银行,1.0,20100914,20120703,1.0,0.0
211,朝阳银行股份有限公司,4960266.66,20190130,20190305,4960266.66,0.0
212,杭州联合农村商业银行股份有限公司,80701460.79,20131125,20191130,96794348.4,16092887.61
213,杭州银行股份有限公司,151928323.54,20100914,20190329,202221186.44,50292862.900000006
214,枣庄银行股份有限公司,222222222.22,20140109,20151008,222222222.22,0.0
215,柳州银行股份有限公司,0.01,20110908,20180630,0.01,0.0
216,株洲市商业银行股份有限公司,100000000.0,20100915,20120915,100000000.0,0.0
217,桂林银行股份有限公司,59218007.09,20100914,20191130,79738007.09,20520000.0
218,武汉农村商业银行股份有限公司,1414573430.0,20130625,20191130,1414573430.0,0.0
219,民生金融租赁股份有限公司,0.01,20100915,20180830,0.01,0.0
220,汇丰银行（中国）,139588927.19,20140408,20190225,141409559.67,1820632.4799999893
221,汉口银行股份有限公司,388149296.86,20121017,20191031,388900398.76,751101.8999999762
222,江南农村商业银行股份有限公司,10000000.0,20121116,20121116,10000000.0,0.0
223,江苏南通农村商业银行股份有限公司,13958500.0,20140109,20190930,13858500.0,-100000.0
224,江苏启东农村商业银行股份有限公司,80190061.76,20140208,20191130,79990061.76,-200000.0
225,江苏吴江农村商业银行股份有限公司,35876860.52,20121101,20190930,38456860.52,2580000.0
226,江苏大丰农村商业银行股份有限公司,0.01,20140221,20190930,0.01,0.0
227,江苏太仓农村商业银行股份有限公司,164666666.67,20140208,20150930,164666666.67,0.0
228,江苏如皋农村商业银行股份有限公司,167951494.82,20140208,20191030,167951494.82,0.0
229,江苏姜堰农村商业银行股份有限公司,80970000.0,20140208,20191031,81470000.0,500000.0
230,江苏宜兴农村商业银行股份有限公司,0.01,20140208,20170830,0.01,0.0
231,江苏常熟农村商业银行股份有限公司,534520693.22,20100914,20190930,535847769.22,1327076.0
232,江苏张家港农村商业银行股份有限公司,38739026.75,20100915,20190328,41666943.55,2927916.799999997
233,江苏昆山农村商业银行股份有限公司,2012267.3,20140217,20190930,1762267.3,-250000.0
234,江苏民丰农村商业银行股份有限公司,7500000.01,20131206,20170828,7500000.01,0.0
235,江苏江南农村商业银行股份有限公司,7362311.69,20140304,20190930,19372311.69,12010000.0
236,江苏江都农村商业银行股份有限公司,3710860.74,20121116,20191130,3710860.74,0.0
237,江苏江阴农村商业银行股份有限公司,445073049.06,20140208,20190930,445100000.0,26950.939999997616
238,江苏沭阳农村商业银行股份有限公司,111111111.11,20140208,20150930,111111111.11,0.0
239,江苏海安农村商业银行股份有限公司,359846320.65,20140218,20190930,359620320.65,-226000.0
240,江苏省国信集团财务有限公司,110000000.0,20140311,20151008,110000000.0,0.0
241,江苏紫金农村商业银行股份有限公司,12898466.04,20131206,20190930,68048466.04,55150000.00000001
242,江苏苏宁银行股份有限公司,93300000.0,20190320,20200229,93100000.0,-200000.0
243,江苏银行股份有限公司,26551374.94,20100906,20190930,653068.84,-25898306.1
244,江西银行股份有限公司,52917702.0,20100914,20190930,53504890.83,587188.8299999982
245,江门新会农村商业银行股份有限公司,111111111.11,20160310,20180630,111111111.11,0.0
246,江门融和农村商业银行股份有限公司,0.01,20140320,20170830,0.01,0.0
247,池州九华农村商业银行股份有限公司,0.01,20131225,20170830,0.01,0.0
248,沧州银行股份有限公司,65553606.51,20131225,20190930,66080076.01,526469.5
249,河北钢铁集团财务有限公司,1.11,20141209,20151231,1.11,0.0
250,河北银行股份有限公司,724370044.09,20101018,20191130,708850782.61,-15519261.48000002
251,泉州农村商业银行股份有限公司,0.01,20121116,20170830,0.01,0.0
252,泉州银行股份有限公司,34014046.99,20100914,20190930,34650344.45,636297.4600000009
253,法国巴黎银行,1.0,20100914,20120703,1.0,0.0
254,泰安银行股份有限公司,11426051.33,20100915,20191031,131026051.33,119600000.0
255,泸州市商业银行股份有限公司,25300000.0,20140409,20190930,25300000.0,0.0
256,洛阳银行股份有限公司,18389620.49,20101122,20191130,95367254.49,76977634.0
257,济宁银行股份有限公司,24533666.67,20100915,20191130,7209580.84,-17324085.830000002
258,浙商银行股份有限公司,429011571.05,20100527,20190930,636359712.61,207348141.56
259,浙江上虞农村商业银行股份有限公司,55555555.56,20171211,20180630,55555555.56,0.0
260,浙江东阳农村商业银行,5431588.35,20180122,20191031,5431588.35,0.0
261,浙江临海农村商业银行股份有限公司,3121652.0,20180830,20190217,3351652.0,230000.0
262,浙江义乌农村商业银行股份有限公司,31794718.4,20140220,20190930,32192111.6,397393.200000003
263,浙江乐清农村商业银行股份有限公司,197046762.2,20100915,20190930,197046762.2,0.0
264,浙江南浔农村商业银行股份有限公司,2883473.34,20171211,20190918,3533473.34,650000.0
265,浙江富阳农村商业银行股份有限公司,39677890.65,20190109,20191231,39677890.65,0.0
266,浙江嵊州农村商业银行股份有限公司,28434457.6,20180919,20190930,28534457.6,100000.0
267,浙江德清农村商业银行股份有限公司,23355989.76,20160310,20190930,28076989.76,4721000.0
268,浙江杭州余杭农村商业银行股份有限公司,49981082.39,20160321,20190930,53629409.39,3648327.0
269,浙江民泰商业银行股份有限公司,0.0,20100914,20171016,0.0,0.0
270,浙江永嘉农村合作银行,100000000.0,20100915,20120915,100000000.0,0.0
271,浙江永嘉农村商业银行股份有限公司,98673000.0,20190109,20191231,98673000.0,0.0
272,浙江永康农村商业银行股份有限公司,4454205.1,20160310,20191130,6258058.1,1803853.0
273,浙江江山农村商业银行股份有限公司,100000000.0,20131225,20160930,100000000.0,0.0
274,浙江泰隆商业银行股份有限公司,3160979.65,20100914,20190930,2801683.65,-359296.0
275,浙江海宁农村商业银行股份有限公司,1479822.0,20181220,20191231,1779822.0,300000.0
276,浙江温岭农村商业银行股份有限公司,22308744.68,20170313,20191130,22068744.68,-240000.0
277,浙江温州瓯海农村商业银行股份有限公司,50357143.8,20100915,20191130,49948143.8,-409000.0
278,浙江温州鹿城农村商业银行股份有限公司,35385370.0,20100915,20191231,35585370.0,200000.0
279,浙江温州龙湾农村商业银行股份有限公司,918689.31,20131106,20191231,2357039.31,1438350.0
280,浙江瑞安农村商业银行股份有限公司,96379900.0,20160411,20191130,96379900.0,0.0
281,浙江省交通投资集团财务有限责任公司,195000000.0,20170830,20191231,195000000.0,0.0
