客户名称,2019-04-28 00:00:00,生效起始日,生效截至日,2019-04-30
亳州药都农村商业银行股份有限公司,281785726.1,20131125,20190730,281785726.12
邯郸银行股份有限公司,74400.0,20131125,20191231,74400.0
曲靖市商业银行股份有限公司,55555555.56,20150423,20170630,55555555.56
国投财务有限公司,732999844.3,20150423,20190930,732999844.3
浙江诸暨农村商业银行股份有限公司,22222222.22,20151028,20180930,22222222.22
新希望财务有限公司,4455580.0,20151028,20190930,4455580.0
中航工业集团财务有限责任公司,100000000.0,20151028,20191231,100000000.0
中国铁建财务有限公司,121582.35,20151028,20190930,121582.35
山东晨鸣集团财务有限公司,333333333.3,20170104,20180512,333333333.33
大同煤矿集团财务有限责任公司,555555555.6,20170104,20180326,555555555.56
陕西延长石油财务有限公司,100000000.0,20181109,20190731,100000000.0
一汽财务有限公司,2900316562.0,20181219,20191231,2900316561.67
浙江海宁农村商业银行股份有限公司,1479822.0,20181220,20191231,1479822.0
江苏苏宁银行股份有限公司,93300000.0,20190320,20200229,93300000.0
中国石化财务有限责任公司,1999763131.0,20190328,20190731,1999763131.0
大连银行股份有限公司,207909.0,20101111,20190930,207909.0
承德银行股份有限公司,311939801.4,20130628,20190930,311939801.43
福建石狮农村商业银行股份有限公司,34186560.0,20140109,20190930,34186560.0
福建晋江农村商业银行股份有限公司,2371440.0,20140109,20190930,2371440.0
枣庄银行股份有限公司,222222222.2,20140109,20151008,222222222.22
江苏南通农村商业银行股份有限公司,13958500.0,20140109,20190930,13958500.0
山西尧都农村商业银行股份有限公司,2000000.0,20140109,20191130,2000000.0
惠州农村商业银行股份有限公司,150000000.0,20140109,20191031,150000000.0
中开财务有限公司,129895083.3,20170316,20190630,129895083.31
南方电网财务有限公司,800000000.0,20190410,20190930,800000000.0
长沙农村商业银行股份有限公司,498500000.0,20190410,20200331,498500000.0
辽阳银行股份有限公司,4217750.0,20120605,20190930,4217750.0
晋城银行股份有限公司,140000.0,20140116,20190831,140000.0
三菱东京日联银行（中国）,222222222.2,20140925,20160930,222222222.22
抚州农村商业银行股份有限公司,0.01,20141118,20170830,0.01
重庆化医控股集团财务有限公司,77777777.78,20141118,20151008,77777777.78
湖北襄阳农村商业银行股份有限公司,0.01,20141118,20170830,0.01
中国华能财务有限责任公司,13676.05,20141118,20190930,13676.05
江门新会农村商业银行股份有限公司,111111111.1,20160310,20180630,111111111.11
包商银行股份有限公司,6719961.0,20101008,20191231,6719961.0
哈尔滨银行股份有限公司,122078192.9,20101122,20190930,122078192.9
南山集团财务有限公司,1.0,20101122,20120703,1.0
中船重工财务有限责任公司,777777777.8,20140409,20170930,777777777.78
美国纽约银行,111111111.1,20140418,20141018,111111111.11
淮南通商农村商业银行股份有限公司,0.01,20141209,20170830,0.01
湖南浏阳农村商业银行股份有限公司,166666666.7,20141209,20150930,166666666.67
河北钢铁集团财务有限公司,1.11,20141209,20151231,1.11
中油财务有限责任公司,2000000000.0,20150116,20190831,2000000000.0
广东省广晟财务有限公司,40000000.0,20180711,20190501,40000000.0
中煤财务有限责任公司,1000000000.0,20190326,20200331,1000000000.0
鄂尔多斯银行股份有限公司,0.01,20100915,20191031,0.01
张家口银行股份有限公司,2422035.34,20100915,20191130,2422035.34
长沙银行股份有限公司,426786999.1,20100915,20190930,426786999.11
常州市商业银行股份有限公司,1.11,20100915,20151230,1.11
湘潭市商业银行股份有限公司,100000000.0,20100915,20120915,100000000.0
浙江绍兴瑞丰农村商业银行股份有限公司,227325960.8,20100915,20190930,227325960.8
邢台银行股份有限公司,130900000.0,20100915,20181105,130900000.0
鞍山银行股份有限公司,2751318.0,20100915,20190930,2751318.0
